iteration,relative_error
0,1
1,0.197057
2,0.130774
3,0.104699
4,0.0889781
5,0.0788003
6,0.072063
7,0.0672528
8,0.063377
9,0.0599637
10,0.0568901
11,0.0541538
12,0.0518149
13,0.049898
14,0.048274
15,0.0467863
16,0.0452946
17,0.0437628
18,0.0423413
19,0.041113
20,0.0400517
21,0.0390592
22,0.0380226
23,0.0370026
24,0.0361169
25,0.0353593
26,0.0344234
27,0.032795
28,0.0317495
29,0.031231
30,0.0310211
31,0.0309499
32,0.0309207
33,0.0308985
34,0.0308791
35,0.0308542
36,0.0308292
37,0.0308049
38,0.0307769
39,0.0307437
40,0.0307044
41,0.0306533
42,0.0305943
43,0.0305289
44,0.0304567
45,0.0303675
46,0.0302505
47,0.0301059
48,0.0299468
49,0.0297684
50,0.0295329
51,0.0292277
52,0.0288935
53,0.0284487
54,0.0279
55,0.0275095
56,0.0271048
57,0.0266632
58,0.0261649
59,0.0255753
60,0.0247317
61,0.0238006
62,0.0229364
63,0.0219123
64,0.0213021
65,0.0206745
66,0.0199659
67,0.0193038
68,0.0187257
69,0.0181677
70,0.0175544
71,0.0167253
72,0.0156067
73,0.0146133
74,0.0138878
75,0.0132272
76,0.0124909
77,0.0117147
78,0.0110767
79,0.0105796
80,0.0100402
81,0.00949077
82,0.00897412
83,0.00847172
84,0.00799163
85,0.00742288
86,0.00680465
87,0.00625064
88,0.00565809
89,0.00517678
90,0.00472922
91,0.00434359
92,0.0038794
93,0.00343617
94,0.00309997
95,0.00281594
96,0.0025451
97,0.00229864
98,0.00213765
99,0.00201965
100,0.00192721
101,0.00183772
102,0.00175111
103,0.00167531
104,0.00161231
105,0.00155141
106,0.00148491
107,0.00141253
108,0.00134521
109,0.0012517
110,0.00113571
111,0.00100186
112,0.000884398
113,0.000794454
114,0.000719608
115,0.000639477
116,0.000552774
117,0.000475287
118,0.000416936
119,0.000358029
120,0.000304892
121,0.000252225
122,0.000213882
123,0.000179967
124,0.000156054
125,0.000141305
126,0.000129858
127,0.000115469
128,0.000101705
129,9.06843e-05
130,8.04983e-05
131,7.06128e-05
132,6.27084e-05
133,5.63769e-05
134,5.07335e-05
135,4.46108e-05
136,3.95596e-05
137,3.62261e-05
138,3.39497e-05
139,3.17809e-05
140,2.96188e-05
141,2.71287e-05
142,2.36437e-05
143,1.92392e-05
144,1.45811e-05
145,1.0349e-05
146,7.5026e-06
147,5.6928e-06
148,4.55135e-06
149,3.94677e-06
150,3.50318e-06
151,3.13511e-06
152,2.87891e-06
153,2.70017e-06
154,2.57398e-06
155,2.46946e-06
156,2.38073e-06
157,2.30681e-06
158,2.23134e-06
159,2.15516e-06
160,2.08e-06
161,2.00272e-06
162,1.92829e-06
163,1.87002e-06
164,1.8208e-06
165,1.7833e-06
166,1.75583e-06
167,1.73139e-06
168,1.71069e-06
169,1.68765e-06
170,1.65822e-06
171,1.62144e-06
172,1.58517e-06
173,1.54425e-06
174,1.4834e-06
175,1.40818e-06
176,1.32217e-06
177,1.23413e-06
178,1.13788e-06
179,1.01634e-06
180,8.52582e-07
181,6.78341e-07
182,5.25039e-07
183,3.77417e-07
184,2.69683e-07
185,2.09457e-07
186,1.7609e-07
187,1.51155e-07
188,1.32578e-07
189,1.19553e-07
190,1.08162e-07
191,9.84692e-08
192,9.073e-08
193,8.3562e-08
194,7.68473e-08
195,7.00747e-08
196,6.22755e-08
197,5.42448e-08
198,4.76003e-08
