iteration,relative_error
0,1
1,0.981721
2,0.324219
3,0.0901986
4,0.0374626
5,0.024351
6,0.0188501
7,0.0161524
8,0.014388
9,0.0131005
10,0.0121775
11,0.0113954
12,0.0107613
13,0.0102039
14,0.00970852
15,0.00927029
16,0.0088697
17,0.00853066
18,0.00821025
19,0.00792976
20,0.00766297
21,0.00742602
22,0.00720513
23,0.00700097
24,0.00681308
25,0.00662964
26,0.00645779
27,0.00629184
28,0.00613833
29,0.00599342
30,0.00585298
31,0.00571955
32,0.00558899
33,0.00546722
34,0.00535095
35,0.00523929
36,0.00513409
37,0.00503205
38,0.00493678
39,0.00484472
40,0.00475797
41,0.00467641
42,0.00459868
43,0.00452688
44,0.00445813
45,0.0043941
46,0.00433291
47,0.00427451
48,0.00422021
49,0.00416805
50,0.00411941
51,0.00407292
52,0.00402869
53,0.00398703
54,0.00394649
55,0.00390793
56,0.00387037
57,0.00383419
58,0.00379965
59,0.00376565
60,0.00373285
61,0.00370043
62,0.00366887
63,0.00363795
64,0.00360684
65,0.00357632
66,0.00354578
67,0.00351587
68,0.00348656
69,0.00345744
70,0.00342891
71,0.0034002
72,0.00337169
73,0.00334357
74,0.00331557
75,0.00328822
76,0.00326115
77,0.00323476
78,0.0032095
79,0.00318508
80,0.00316084
81,0.00313525
82,0.00310932
83,0.00308287
84,0.00305691
85,0.00303166
86,0.00300649
87,0.00298183
88,0.00295716
89,0.00293274
90,0.00290885
91,0.00288514
92,0.00286212
93,0.00283945
94,0.0028174
95,0.00279614
96,0.00277568
97,0.00275611
98,0.00273637
99,0.00271693
100,0.00269772
101,0.00267911
102,0.00266107
103,0.00264356
104,0.00262697
105,0.00261082
106,0.00259528
107,0.00258033
108,0.00256575
109,0.00255196
110,0.00253861
111,0.00252562
112,0.00251313
113,0.0025008
114,0.0024887
115,0.00247684
116,0.00246542
117,0.00245446
118,0.00244376
119,0.0024336
120,0.00242369
121,0.00241392
122,0.00240425
123,0.00239473
124,0.00238544
125,0.0023762
126,0.00236721
127,0.00235842
128,0.00234976
129,0.00234124
130,0.0023327
131,0.00232427
132,0.00231594
133,0.00230769
