iteration,relative_error
0,1
1,0.204796
2,0.103072
3,0.0836883
4,0.0718779
5,0.0634808
6,0.0569871
7,0.0517535
8,0.0473438
9,0.0436961
10,0.0407277
11,0.0383498
12,0.0363972
13,0.0347952
14,0.0334744
15,0.0323819
16,0.0314492
17,0.0306324
18,0.0298986
19,0.0292235
20,0.0285865
21,0.0279713
22,0.0273671
23,0.0267696
24,0.0261783
25,0.0256036
26,0.0250461
27,0.0245154
28,0.0240188
29,0.0235611
30,0.0231455
31,0.0227651
32,0.0224164
33,0.022091
34,0.021783
35,0.0214847
36,0.0211921
37,0.0209021
38,0.0206136
39,0.0203263
40,0.0200406
41,0.0197621
42,0.0194945
43,0.0192423
44,0.0190056
45,0.018783
46,0.0185731
47,0.0183744
48,0.0181846
49,0.0180006
50,0.0178193
51,0.017638
52,0.0174557
53,0.0172724
54,0.0170897
55,0.0169092
56,0.0167338
57,0.0165654
58,0.0164057
59,0.0162548
60,0.0161118
61,0.0159731
62,0.0158342
63,0.0156745
64,0.015441
65,0.015083
66,0.0147998
67,0.0146294
68,0.0144147
69,0.0142537
70,0.0141315
71,0.0140726
72,0.0140363
73,0.0140163
74,0.0139992
75,0.0139875
76,0.0139795
77,0.0139738
78,0.0139703
79,0.0139671
80,0.0139643
81,0.0139615
82,0.0139586
83,0.0139553
84,0.0139517
85,0.013948
86,0.0139441
87,0.0139399
88,0.0139357
89,0.0139311
90,0.013926
91,0.0139205
92,0.0139144
93,0.0139079
94,0.0139012
95,0.0138942
96,0.0138874
97,0.0138806
98,0.0138735
99,0.0138654
100,0.0138562
101,0.0138454
102,0.0138324
103,0.0138175
104,0.0138013
105,0.0137844
106,0.013768
107,0.0137521
108,0.0137358
109,0.0137192
110,0.0137018
111,0.0136825
112,0.0136602
113,0.0136347
114,0.0136061
115,0.0135745
116,0.0135416
117,0.0135076
118,0.0134722
119,0.0134346
120,0.0133948
121,0.0133512
122,0.013302
123,0.013246
124,0.0131842
125,0.0131197
126,0.0130537
127,0.0129781
128,0.0128768
129,0.0127424
130,0.0126086
131,0.0124935
132,0.012354
133,0.0122093
134,0.0120977
135,0.0119232
136,0.0117323
137,0.0115422
138,0.0113632
139,0.0111601
140,0.0109433
141,0.0107255
142,0.0105106
143,0.010251
144,0.00993043
145,0.00955074
146,0.0091876
147,0.00887347
148,0.00857684
149,0.00827406
150,0.00796017
151,0.00763874
152,0.00735331
153,0.00709647
154,0.00686636
155,0.00666574
156,0.00648323
157,0.00630637
158,0.00613793
159,0.00596165
160,0.00578687
161,0.00562047
162,0.00545705
163,0.00530742
164,0.00517258
165,0.00504588
166,0.00493182
167,0.00482587
168,0.00472509
169,0.0046244
170,0.00451808
171,0.00440584
172,0.00428657
173,0.00415158
174,0.00401025
175,0.00387126
176,0.00374414
177,0.00363227
178,0.00353603
179,0.0034519
180,0.00337258
181,0.00329127
182,0.00320224
183,0.0031063
184,0.00300523
185,0.00290117
186,0.0027988
187,0.0027026
188,0.00262052
189,0.00255171
190,0.00249109
191,0.00242954
192,0.0023573
193,0.00227752
194,0.00220086
195,0.00213408
196,0.00207146
197,0.00201188
198,0.00196472
199,0.00192219
200,0.00188105
201,0.0018476
202,0.00181956
203,0.00179761
204,0.00177028
205,0.00173697
206,0.00169991
207,0.00165871
208,0.00161147
209,0.00156915
210,0.00152521
211,0.00148111
212,0.00143445
213,0.00138948
214,0.00134384
215,0.00130235
216,0.00126272
217,0.00122579
218,0.00118784
219,0.00114621
220,0.00109889
221,0.00105103
222,0.00100594
223,0.000962742
224,0.000914581
225,0.000862186
226,0.000815765
227,0.000776287
228,0.000744754
229,0.000716795
230,0.000690828
231,0.000666414
232,0.000641869
233,0.000617309
234,0.000592477
235,0.000567357
236,0.000543407
237,0.000522984
238,0.000504767
239,0.000488564
240,0.000473635
241,0.000459903
242,0.000447346
243,0.000435523
244,0.000423707
245,0.000411676
246,0.000400017
247,0.000388917
248,0.000378191
249,0.000368394
250,0.000359707
251,0.000352005
252,0.000345166
253,0.000339258
254,0.0003341
255,0.000329032
256,0.000323426
257,0.000317554
258,0.000312188
259,0.000307258
260,0.000302277
261,0.000296984
262,0.000291843
263,0.000286299
264,0.000279398
265,0.000272373
266,0.000265744
267,0.000259678
268,0.000254656
269,0.000249294
270,0.000243034
271,0.000237429
272,0.000232168
273,0.000224661
274,0.000217032
275,0.000209376
276,0.000202298
277,0.000196089
278,0.000190288
279,0.000184679
280,0.000179224
281,0.00017341
282,0.000167359
283,0.000160775
284,0.000153767
285,0.000146597
286,0.000139357
287,0.000132577
288,0.000126147
289,0.000120266
290,0.000114647
291,0.00010924
292,0.00010323
293,9.62999e-05
294,8.85303e-05
295,8.12351e-05
296,7.45321e-05
297,6.82944e-05
298,6.26654e-05
299,5.7509e-05
300,5.2705e-05
301,4.83957e-05
302,4.48228e-05
303,4.16726e-05
304,3.87781e-05
305,3.59644e-05
306,3.33078e-05
307,3.08855e-05
308,2.8667e-05
309,2.65491e-05
310,2.45582e-05
311,2.2759e-05
312,2.11157e-05
313,1.9492e-05
314,1.79364e-05
315,1.65549e-05
316,1.53043e-05
317,1.41867e-05
318,1.31865e-05
319,1.22737e-05
320,1.13672e-05
321,1.04641e-05
322,9.62163e-06
323,8.86973e-06
324,8.22498e-06
325,7.65663e-06
326,7.12449e-06
327,6.58453e-06
328,6.03163e-06
329,5.55351e-06
330,5.18788e-06
331,4.88011e-06
332,4.64056e-06
333,4.4607e-06
334,4.32276e-06
335,4.20312e-06
336,4.10205e-06
337,4.01718e-06
338,3.92366e-06
339,3.83247e-06
340,3.74903e-06
341,3.65656e-06
342,3.57449e-06
343,3.49592e-06
344,3.42174e-06
345,3.35827e-06
346,3.29799e-06
347,3.24369e-06
348,3.18779e-06
349,3.12443e-06
350,3.04102e-06
351,2.93718e-06
352,2.81328e-06
353,2.6709e-06
354,2.51899e-06
355,2.37962e-06
356,2.26785e-06
357,2.16934e-06
358,2.06659e-06
359,1.95479e-06
360,1.84012e-06
361,1.72797e-06
362,1.61201e-06
363,1.50289e-06
364,1.39839e-06
365,1.30089e-06
366,1.21611e-06
367,1.14722e-06
368,1.08775e-06
369,1.03206e-06
370,9.81808e-07
371,9.42427e-07
372,9.10614e-07
373,8.7996e-07
374,8.46279e-07
375,8.06635e-07
376,7.66631e-07
377,7.28985e-07
378,6.95789e-07
379,6.6707e-07
380,6.41441e-07
381,6.17679e-07
382,5.93915e-07
383,5.68283e-07
384,5.40559e-07
385,5.11066e-07
386,4.83837e-07
387,4.58478e-07
388,4.33803e-07
389,4.0687e-07
390,3.77318e-07
391,3.47635e-07
392,3.16188e-07
393,2.85807e-07
394,2.59214e-07
395,2.37628e-07
396,2.20668e-07
397,2.0618e-07
398,1.91843e-07
399,1.79322e-07
400,1.69112e-07
401,1.60308e-07
402,1.52942e-07
403,1.47202e-07
404,1.42912e-07
405,1.39473e-07
406,1.3661e-07
407,1.33954e-07
408,1.31575e-07
409,1.29542e-07
410,1.27918e-07
411,1.26445e-07
412,1.24884e-07
413,1.23357e-07
414,1.21907e-07
415,1.2058e-07
416,1.19322e-07
417,1.18159e-07
418,1.17012e-07
419,1.15923e-07
420,1.15049e-07
421,1.14324e-07
422,1.13693e-07
423,1.13095e-07
424,1.12501e-07
425,1.11831e-07
426,1.11109e-07
427,1.10389e-07
428,1.09749e-07
