iteration,rel_residual
0,1
1,1.72411
2,2.4827
3,0.621116
4,0.360635
5,0.775137
6,0.5239
7,0.376058
8,0.509102
9,0.427994
10,0.232467
11,0.2693
12,0.263308
13,0.193814
14,0.153377
15,0.137245
16,0.120426
17,0.101898
18,0.0781858
19,0.0574722
20,0.0485663
21,0.0552631
22,0.0684943
23,0.0593594
24,0.0641861
25,0.073243
26,0.107333
27,0.158939
28,0.149569
29,0.168826
30,0.153263
31,0.13998
32,0.132365
33,0.088971
34,0.0799277
35,0.0774906
36,0.0456516
37,0.033757
38,0.0255105
39,0.0252862
40,0.0248355
41,0.0200598
42,0.0189515
43,0.0146513
44,0.010479
45,0.00932861
46,0.00929395
47,0.00528822
48,0.00422115
49,0.00413165
50,0.00339538
51,0.0030388
52,0.0022488
53,0.00112364
54,0.000633263
55,0.000448602
56,0.00048905
57,0.000341068
58,0.00027736
59,0.000306132
60,0.000239431
61,0.000152811
62,0.000148514
63,0.000174231
64,0.000181105
65,0.000154255
66,0.00011029
67,7.76569e-05
68,6.67167e-05
69,6.67297e-05
70,4.34411e-05
71,2.61044e-05
72,1.53251e-05
73,1.12095e-05
74,7.4166e-06
75,3.99932e-06
76,2.56788e-06
77,1.97642e-06
78,1.8405e-06
79,2.00983e-06
80,1.5233e-06
81,1.39175e-06
82,1.49215e-06
83,1.13593e-06
84,6.70734e-07
85,4.98511e-07
86,4.61734e-07
87,5.13825e-07
88,7.02429e-07
89,7.04721e-07
90,4.31171e-07
91,3.57884e-07
92,3.44031e-07
93,2.79719e-07
94,1.65807e-07
95,1.14477e-07
96,9.85377e-08
97,9.9683e-08
98,6.41008e-08
99,4.58614e-08
100,3.29334e-08
101,2.05242e-08
102,1.56199e-08
103,1.06128e-08
104,5.85191e-09
105,5.00544e-09
106,2.65497e-09
107,2.03603e-09
108,1.9627e-09
109,2.05446e-09
110,1.53883e-09
111,1.02444e-09
112,7.48758e-10
113,5.50513e-10
114,4.06733e-10
115,3.70089e-10
116,1.8342e-10
117,9.81492e-11
118,5.53687e-11
