iteration,relative_error
0,1
1,0.676501
2,0.0628148
3,0.049143
4,0.0374196
5,0.0317724
6,0.0274814
7,0.0244032
8,0.0219838
9,0.0201502
10,0.0188224
11,0.0177382
12,0.0168622
13,0.0161598
14,0.0155237
15,0.0150111
16,0.0145135
17,0.0140543
18,0.0136158
19,0.0131796
20,0.0127928
21,0.0124247
22,0.0120858
23,0.0117808
24,0.0114899
25,0.0112401
26,0.011015
27,0.0108118
28,0.0106187
29,0.0104363
30,0.0102634
31,0.010088
32,0.00991595
33,0.00974925
34,0.00958349
35,0.0094306
36,0.00929142
37,0.00916461
38,0.00905521
39,0.0089477
40,0.00884254
41,0.00873572
42,0.00862254
43,0.00850912
44,0.00839228
45,0.00827528
46,0.00816347
47,0.00806348
48,0.00797535
49,0.00789655
50,0.00782163
51,0.00775041
52,0.00767651
53,0.00760179
54,0.0075221
55,0.0074338
56,0.00732928
57,0.0072007
58,0.00705488
59,0.00692229
60,0.00683376
61,0.00678001
62,0.00673874
63,0.00670874
64,0.00669166
65,0.00667985
66,0.00666865
67,0.00665894
68,0.00665217
69,0.00664663
70,0.00664147
71,0.00663589
72,0.00662934
73,0.00662262
74,0.00661627
75,0.00661082
76,0.00660611
77,0.00660183
78,0.00659768
79,0.00659359
80,0.00658915
81,0.0065847
82,0.00658044
83,0.00657613
84,0.006572
85,0.00656771
86,0.006563
87,0.00655784
88,0.00655199
89,0.00654591
90,0.0065394
91,0.00653291
92,0.00652673
93,0.00652006
94,0.00651255
95,0.00650369
96,0.00649275
97,0.00648001
98,0.00646608
99,0.00645217
100,0.00643902
101,0.00642719
102,0.0064167
103,0.00640677
104,0.00639718
105,0.00638747
106,0.00637692
107,0.006365
108,0.00635151
109,0.00633688
110,0.00632193
111,0.00630616
112,0.00628807
113,0.00626393
114,0.00622985
115,0.00618315
116,0.00612824
117,0.0060757
118,0.00602448
119,0.00596876
120,0.00590885
121,0.0058576
122,0.00581811
123,0.00578549
124,0.00575585
125,0.00572782
126,0.00569863
127,0.00566818
128,0.00564185
129,0.00562117
130,0.00560335
131,0.00558387
132,0.00556285
133,0.00554299
134,0.00552665
135,0.00551283
136,0.00549993
137,0.00548754
138,0.00547542
139,0.00546398
140,0.00545367
141,0.00544352
142,0.00543404
143,0.00542477
144,0.0054149
145,0.00540462
146,0.00539318
147,0.0053801
148,0.00536608
149,0.00535006
150,0.00533133
151,0.00530945
152,0.0052847
153,0.00525813
154,0.00523124
155,0.0052023
156,0.00516759
157,0.00512374
158,0.00506811
159,0.0049985
160,0.00491667
161,0.00482901
162,0.00474164
163,0.00465878
164,0.00458486
165,0.00451479
166,0.00444873
167,0.00438094
168,0.00430777
169,0.00422352
170,0.00412679
171,0.00402263
172,0.0039094
173,0.00378674
174,0.00366246
175,0.00353291
176,0.00339482
177,0.00325043
178,0.00310944
179,0.00297981
180,0.00284165
181,0.00269021
182,0.00253054
183,0.00237142
184,0.00222607
185,0.00209241
186,0.0019584
187,0.00182137
188,0.00168684
189,0.00156497
190,0.00146209
191,0.00137554
192,0.00130487
193,0.00124778
194,0.00120175
195,0.00116234
196,0.00112493
197,0.00108772
198,0.00105519
199,0.00102805
200,0.00100218
201,0.000978005
202,0.000954044
203,0.000927813
204,0.000900381
205,0.000871825
206,0.00084242
207,0.000812982
208,0.000782643
209,0.000750127
210,0.000713458
211,0.000672113
212,0.000628997
213,0.000586105
214,0.00054817
215,0.000514393
216,0.000484568
217,0.000457665
218,0.000432309
219,0.000407272
220,0.000383487
221,0.000361315
222,0.000340711
223,0.000320978
224,0.000301342
225,0.000283191
226,0.000266514
227,0.000250147
228,0.000234267
229,0.000219447
230,0.000205693
231,0.000192014
232,0.000176788
233,0.00016042
234,0.000144799
235,0.00013125
236,0.000120001
237,0.000110237
238,0.000101964
239,9.52288e-05
240,8.91556e-05
241,8.36587e-05
242,7.85071e-05
243,7.3508e-05
244,6.90022e-05
245,6.48389e-05
246,6.09197e-05
247,5.75068e-05
248,5.46215e-05
249,5.22095e-05
250,4.99976e-05
251,4.76529e-05
252,4.50631e-05
253,4.23393e-05
254,3.97358e-05
255,3.73274e-05
256,3.51822e-05
257,3.2972e-05
258,3.06779e-05
259,2.85085e-05
260,2.6344e-05
261,2.3995e-05
262,2.16241e-05
263,1.94238e-05
264,1.74823e-05
265,1.5871e-05
266,1.44684e-05
267,1.31914e-05
268,1.21087e-05
269,1.11283e-05
270,1.02727e-05
271,9.57234e-06
272,8.95587e-06
273,8.37454e-06
274,7.848e-06
275,7.39563e-06
276,7.00289e-06
277,6.64461e-06
278,6.31097e-06
279,6.00084e-06
280,5.7166e-06
